Item,Soil type,value,Location,Source,Commodity,Year,Unit
Seed Cost,High,97.75,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Nitrogen (NH3),High,90.0030487804878,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
P205   (MAP),High,49.523076923076914,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
K20   (Potash),High,25.92,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Chemicals,High,35.0,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Labor and Management,High,103.19392000000002,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Return to Variable Costs,High,839.5353938797691,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Return to Land,High,644.2499020047691,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
"Return to Land, Labor, Management",High,793.2797837569057,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Return Above Total Costs,High,479.24990200476907,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Price,High,6.4,Ohio,Farmoffice,Corn 2011 - May,24/25,$/bushel
Receipts,Low,122.0,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),bu/acre
Corn Price,Low,780.8000000000001,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Seed Cost,Low,92.0,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Nitrogen (NH3),Low,80.44512195121952,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
P205   (MAP),Low,31.46778846153846,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
K20   (Potash),Low,16.470000000000002,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Chemicals,Low,35.0,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Labor and Management,Low,80.57156,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Return to Variable Costs,Low,406.28098281686505,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Return to Land,Low,233.61785094186507,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
"Return to Land, Labor, Management",Low,314.18941094186505,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Return Above Total Costs,Low,103.61785094186507,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Price,Low,6.4,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/bushel
Receipts,High,152.0,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),bu/acre
Corn Price,High,972.8000000000001,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Seed Cost,High,97.75,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Nitrogen (NH3),High,90.0030487804878,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
P205   (MAP),High,39.20576923076923,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
K20   (Potash),High,20.520000000000003,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Chemicals,High,35.0,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Labor and Management,High,90.39392000000001,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Return to Variable Costs,High,559.5805851190851,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Return to Land,High,377.0950932440851,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
"Return to Land, Labor, Management",High,499.80723455818776,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Return Above Total Costs,High,212.0950932440851,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/acre
Price,High,6.4,Ohio,Farmoffice,Corn 2011 - Late Planning,(May28-June5),$/bushel
Receipts,Low,48.0,Ohio,Farmoffice,Soybean,2011/2012,bu/acre
Soybean Price,Low,626.4000000000001,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Seed Cost,Low,58.68,Ohio,Farmoffice,Soybean,2011/2012,$/acre
P205   (MAP),Low,26.769230769230774,Ohio,Farmoffice,Soybean,2011/2012,$/acre
K20   (Potash),Low,33.599999999999994,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Chemicals,Low,30.0,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Labor and Management,Low,59.351560000000006,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Return to Variable Costs,Low,440.8454601971299,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Return to Land,Low,309.6678751971299,Ohio,Farmoffice,Soybean,2011/2012,$/acre
"Return to Land, Labor, Management",Low,369.0194351971299,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Return Above Total Costs,Low,179.6678751971299,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Price,Low,13.05,Ohio,Farmoffice,Soybean,2011/2012,$/bushel
Receipts,High,60.0,Ohio,Farmoffice,Soybean,2011/2012,bu/acre
Soybean Price,High,783.0,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Seed Cost,High,58.68,Ohio,Farmoffice,Soybean,2011/2012,$/acre
P205   (MAP),High,33.46153846153846,Ohio,Farmoffice,Soybean,2011/2012,$/acre
K20   (Potash),High,42.0,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Chemicals,High,30.0,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Labor and Management,High,67.40392,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Return to Variable Costs,High,586.0542499407195,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Return to Land,High,446.82430494071957,Ohio,Farmoffice,Soybean,2011/2012,$/acre
"Return to Land, Labor, Management",High,584.0940198125146,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Return Above Total Costs,High,281.82430494071957,Ohio,Farmoffice,Soybean,2011/2012,$/acre
Price,High,13.05,Ohio,Farmoffice,Soybean,2011/2012,$/bushel
Receipts,Low,43.2,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),bu/acre
Soybean Price,Low,563.7600000000001,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Seed Cost,Low,58.68,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
P205   (MAP),Low,24.092307692307692,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
K20   (Potash),Low,30.24,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Chemicals,Low,30.0,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Labor and Management,Low,56.21956000000001,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Return to Variable Costs,Low,384.54082429969407,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Return to Land,Low,256.49523929969405,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
"Return to Land, Labor, Management",Low,312.71479929969405,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Return Above Total Costs,Low,126.49523929969405,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Price,Low,13.05,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/bushel
Receipts,High,54.0,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),bu/acre
Soybean Price,High,704.7,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Seed Cost,High,58.68,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
P205   (MAP),High,30.115384615384617,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
K20   (Potash),High,37.8,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Chemicals,High,30.0,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Labor and Management,High,63.48892,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Return to Variable Costs,High,515.6734550689248,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Return to Land,High,380.35851006892483,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
"Return to Land, Labor, Management",High,506.67514545354015,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Return Above Total Costs,High,215.35851006892483,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/acre
Price,High,13.05,Ohio,Farmoffice,Soybean 2011-Late Planning,(May28-June5),$/bushel
Receipts,Low,67.0,Ohio,Farmoffice,Wheat,2011/2012,bu/acre
Wheat Price,Low,432.82,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Seed Cost,Low,32.9,Ohio,Farmoffice,Wheat,2011/2012,$/acre
N (UAN),Low,27.598846153846154,Ohio,Farmoffice,Wheat,2011/2012,$/acre
P205   (MAP),Low,27.598846153846154,Ohio,Farmoffice,Wheat,2011/2012,$/acre
K20   (Potash),Low,18.6625,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Chemicals,Low,13.0,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Return to Land,Low,155.61251557524906,Ohio,Farmoffice,Wheat,2011/2012,$/acre
"Return to Land, Labor, Management",Low,204.25351557524905,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Return Above Total Costs,Low,25.612515575249063,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Price,Low,6.46,Ohio,Farmoffice,Wheat,2011/2012,$/bushel
Receipts,High,82.0,Ohio,Farmoffice,Wheat,2011/2012,bu/acre
Wheat Price,High,529.72,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Seed Cost,High,32.9,Ohio,Farmoffice,Wheat,2011/2012,$/acre
N (UAN),High,60.0,Ohio,Farmoffice,Wheat,2011/2012,$/acre
P205   (MAP),High,33.77769230769231,Ohio,Farmoffice,Wheat,2011/2012,$/acre
K20   (Potash),High,20.975,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Chemicals,High,13.0,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Return to Land,High,226.28301557524918,Ohio,Farmoffice,Wheat,2011/2012,$/acre
"Return to Land, Labor, Management",High,279.76901557524917,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Return Above Total Costs,High,61.28301557524918,Ohio,Farmoffice,Wheat,2011/2012,$/acre
Price,High,6.46,Ohio,Farmoffice,Wheat,2011/2012,$/bushel
Receipts,Low,155.0,Ohio,Farmoffice,Corn,2010/2011,bu/acre
Corn Price,Low,542.5,Ohio,Farmoffice,Corn,2010/2011,$/acre
Seed Cost,Low,90.0,Ohio,Farmoffice,Corn,2010/2011,$/acre
Nitrogen (NH3),Low,47.0609756097561,Ohio,Farmoffice,Corn,2010/2011,$/acre
P205   (MAP),Low,24.814903846153847,Ohio,Farmoffice,Corn,2010/2011,$/acre
K20   (Potash),Low,14.821875000000002,Ohio,Farmoffice,Corn,2010/2011,$/acre
Chemicals,Low,35.0,Ohio,Farmoffice,Corn,2010/2011,$/acre
Labor and Management,Low,68.65656,Ohio,Farmoffice,Corn,2010/2011,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Corn,2010/2011,$/acre
Return to Land,Low,104.08375586817328,Ohio,Farmoffice,Corn,2010/2011,$/acre
"Return to Land, Labor, Management",Low,172.7403158681733,Ohio,Farmoffice,Corn,2010/2011,$/acre
Return Above Total Costs,Low,-25.916244131826716,Ohio,Farmoffice,Corn,2010/2011,$/acre
Price,Low,3.5,Ohio,Farmoffice,Corn,2010/2011,$/bushel
Receipts,High,192.0,Ohio,Farmoffice,Corn,2010/2011,bu/acre
Corn Price,High,672.0,Ohio,Farmoffice,Corn,2010/2011,$/acre
Seed Cost,High,95.625,Ohio,Farmoffice,Corn,2010/2011,$/acre
Nitrogen (NH3),High,52.274390243902445,Ohio,Farmoffice,Corn,2010/2011,$/acre
P205   (MAP),High,30.738461538461536,Ohio,Farmoffice,Corn,2010/2011,$/acre
K20   (Potash),High,18.360000000000003,Ohio,Farmoffice,Corn,2010/2011,$/acre
Chemicals,High,35.0,Ohio,Farmoffice,Corn,2010/2011,$/acre
Labor and Management,High,75.35392,Ohio,Farmoffice,Corn,2010/2011,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Corn,2010/2011,$/acre
Return to Land,High,203.50466180196008,Ohio,Farmoffice,Corn,2010/2011,$/acre
"Return to Land, Labor, Management",High,302.6795439814473,Ohio,Farmoffice,Corn,2010/2011,$/acre
Return Above Total Costs,High,38.50466180196008,Ohio,Farmoffice,Corn,2010/2011,$/acre
Price,High,3.5,Ohio,Farmoffice,Corn,2010/2011,$/bushel
Receipts,Low,155.0,Ohio,Farmoffice,Corn with Storage,2010/2011,bu/acre
Corn Price,Low,542.5,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Seed Cost,Low,90.0,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Nitrogen (NH3),Low,47.0609756097561,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
P205   (MAP),Low,24.814903846153847,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
K20   (Potash),Low,14.821875000000002,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Chemicals,Low,35.0,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Labor and Management,Low,68.65656,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Return to Land,Low,77.17833920150679,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
"Return to Land, Labor, Management",Low,145.8348992015068,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Return Above Total Costs,Low,-52.82166079849321,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Price,Low,3.5,Ohio,Farmoffice,Corn with Storage,2010/2011,$/bushel
Receipts,High,192.0,Ohio,Farmoffice,Corn with Storage,2010/2011,bu/acre
Corn Price,High,672.0,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Seed Cost,High,95.625,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Nitrogen (NH3),High,52.274390243902445,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
P205   (MAP),High,30.738461538461536,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
K20   (Potash),High,18.360000000000003,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Chemicals,High,35.0,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Labor and Management,High,75.35392,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Return to Land,High,170.17666180196,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
"Return to Land, Labor, Management",High,267.9628773147806,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Return Above Total Costs,High,5.176661801959995,Ohio,Farmoffice,Corn with Storage,2010/2011,$/acre
Price,High,3.5,Ohio,Farmoffice,Corn with Storage,2010/2011,$/bushel
Receipts,Low,48.0,Ohio,Farmoffice,Soybean,2010/2011,bu/acre
Soybean Price,Low,412.79999999999995,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Seed Cost,Low,57.6,Ohio,Farmoffice,Soybean,2010/2011,$/acre
P205   (MAP),Low,16.615384615384617,Ohio,Farmoffice,Soybean,2010/2011,$/acre
K20   (Potash),Low,23.799999999999997,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Chemicals,Low,30.0,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Labor and Management,Low,48.67156,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Return to Land,Low,155.1346224272528,Ohio,Farmoffice,Soybean,2010/2011,$/acre
"Return to Land, Labor, Management",Low,203.8061824272528,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Return Above Total Costs,Low,25.134622427252793,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Price,Low,8.6,Ohio,Farmoffice,Soybean,2010/2011,$/bushel
Receipts,High,60.0,Ohio,Farmoffice,Soybean,2010/2011,bu/acre
Soybean Price,High,516.0,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Seed Cost,High,57.6,Ohio,Farmoffice,Soybean,2010/2011,$/acre
P205   (MAP),High,20.76923076923077,Ohio,Farmoffice,Soybean,2010/2011,$/acre
K20   (Potash),High,29.75,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Chemicals,High,30.0,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Labor and Management,High,54.053920000000005,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Return to Land,High,246.8340201195606,Ohio,Farmoffice,Soybean,2010/2011,$/acre
"Return to Land, Labor, Management",High,346.69271896571445,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Return Above Total Costs,High,81.83402011956059,Ohio,Farmoffice,Soybean,2010/2011,$/acre
Price,High,8.6,Ohio,Farmoffice,Soybean,2010/2011,$/bushel
Receipts,Low,48.0,Ohio,Farmoffice,Soybean with Storage,2010/2011,bu/acre
Soybean Price,Low,412.79999999999995,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Seed Cost,Low,57.6,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
P205   (MAP),Low,16.615384615384617,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
K20   (Potash),Low,23.799999999999997,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Chemicals,Low,30.0,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Labor and Management,Low,48.67156,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Return to Land,Low,147.7546224272528,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
"Return to Land, Labor, Management",Low,196.4261824272528,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Return Above Total Costs,Low,17.754622427252798,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Price,Low,8.6,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/bushel
Receipts,High,60.0,Ohio,Farmoffice,Soybean with Storage,2010/2011,bu/acre
Soybean Price,High,516.0,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Seed Cost,High,57.6,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
P205   (MAP),High,20.76923076923077,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
K20   (Potash),High,29.75,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
